Station ID,Address,Charger Type,Station Operator,Charging Capacity (kW),Cost (USD/kWh),Distance to City (km),Parking Spots,Reviews (Rating),Usage Stats (avg users/day),High_Utilization,Utilization_Probability,Priority_Tier
EVS00943,"9921 Los Angeles Ave, Los Angeles",AC Level 1,Greenlots,150,0.11,14.73,3,4.8,67,1,0.5498,MEDIUM
EVS00285,"3103 Chicago Ave, Chicago",AC Level 2,ChargePoint,22,0.11,12.25,4,4.9,72,1,0.5498,MEDIUM
EVS02454,"8765 Dubai Ave, Dubai",DC Fast Charger,EVgo,50,0.12,18.97,7,4.6,77,1,0.549,MEDIUM
EVS03569,"6811 Los Angeles Ave, Los Angeles",AC Level 1,ChargePoint,350,0.12,18.88,1,4.6,96,1,0.549,MEDIUM
EVS02101,"1391 Random Rd, City 291, Country",AC Level 1,Greenlots,50,0.18,18.01,2,4.6,14,0,0.5489,MEDIUM
EVS03417,"7586 Bangkok Ave, Bangkok",AC Level 2,Tesla,50,0.24,19.59,2,4.9,59,1,0.5489,MEDIUM
EVS00131,"8806 Random Rd, City 293, Country",AC Level 1,Tesla,50,0.16,16.3,1,4.5,28,0,0.5486,MEDIUM
EVS03146,"2216 Los Angeles Ave, Los Angeles",AC Level 1,ChargePoint,150,0.12,18.6,4,4.5,39,0,0.5486,MEDIUM
EVS00379,"5543 Dubai Ave, Dubai",AC Level 2,ChargePoint,22,0.13,17.14,1,4.1,73,1,0.5486,MEDIUM
EVS04621,"8758 Random Rd, City 297, Country",DC Fast Charger,Tesla,22,0.14,10.85,2,5.0,39,0,0.5486,MEDIUM
EVS00517,"9129 Dubai Ave, Dubai",DC Fast Charger,EVgo,50,0.16,18.7,6,4.8,37,0,0.5484,MEDIUM
EVS00782,"9996 Sydney Ave, Sydney",AC Level 1,Greenlots,22,0.11,18.46,9,4.7,57,1,0.5482,MEDIUM
EVS00038,"8960 Sydney Ave, Sydney",AC Level 1,Ionity,22,0.13,19.06,4,4.2,61,1,0.548,MEDIUM
EVS02807,"5127 Mexico City Ave, Mexico City",AC Level 1,EVgo,22,0.14,19.45,8,4.7,96,1,0.548,MEDIUM
EVS03212,"2402 Seoul Ave, Seoul",DC Fast Charger,EVgo,150,0.14,17.25,6,5.0,94,1,0.5478,MEDIUM
EVS04225,"5299 Mumbai Ave, Mumbai",DC Fast Charger,ChargePoint,22,0.19,18.34,1,4.4,99,1,0.5478,MEDIUM
EVS03688,"2812 Cape Town Ave, Cape Town",AC Level 2,Greenlots,150,0.18,16.62,1,4.8,14,0,0.5477,MEDIUM
EVS04260,"2282 Mexico City Ave, Mexico City",AC Level 2,ChargePoint,150,0.13,12.99,1,4.8,80,1,0.5475,MEDIUM
EVS04802,"981 Dubai Ave, Dubai",DC Fast Charger,EVgo,22,0.22,16.0,2,5.0,56,0,0.5475,MEDIUM
EVS04575,"8808 Mumbai Ave, Mumbai",DC Fast Charger,EVgo,150,0.2,18.04,2,4.9,90,1,0.5473,MEDIUM
EVS00461,"1747 Random Rd, City 346, Country",AC Level 1,Greenlots,22,0.19,19.69,6,4.8,14,0,0.5472,MEDIUM
EVS00158,"8145 Bangkok Ave, Bangkok",DC Fast Charger,Greenlots,150,0.13,14.81,4,4.9,42,0,0.5467,MEDIUM
EVS03852,"4051 Bangkok Ave, Bangkok",DC Fast Charger,EVgo,50,0.11,11.07,3,4.8,28,0,0.5464,MEDIUM
EVS04234,"2520 São Paulo Ave, São Paulo",DC Fast Charger,Ionity,22,0.14,14.69,5,4.8,52,0,0.5464,MEDIUM
EVS00249,"98 Bangkok Ave, Bangkok",DC Fast Charger,Greenlots,22,0.22,18.59,5,5.0,11,0,0.5464,MEDIUM
EVS04115,"9160 Beijing Ave, Beijing",AC Level 2,Greenlots,350,0.13,19.29,2,4.6,36,0,0.5462,MEDIUM
EVS02747,"9215 Moscow Ave, Moscow",DC Fast Charger,ChargePoint,50,0.12,17.77,2,4.0,70,1,0.5462,MEDIUM
EVS03745,"9328 Seoul Ave, Seoul",DC Fast Charger,EVgo,22,0.1,13.05,8,5.0,26,0,0.5462,MEDIUM
EVS02684,"8292 Berlin Ave, Berlin",DC Fast Charger,Tesla,150,0.18,19.85,5,4.8,40,0,0.5458,MEDIUM
EVS00399,"2408 São Paulo Ave, São Paulo",DC Fast Charger,Ionity,150,0.22,18.65,2,4.9,75,1,0.5457,MEDIUM
EVS00193,"4932 Mumbai Ave, Mumbai",AC Level 2,ChargePoint,50,0.15,11.54,2,4.9,58,1,0.5455,MEDIUM
EVS03076,"7206 Dubai Ave, Dubai",AC Level 2,ChargePoint,22,0.13,12.21,2,4.6,39,0,0.5455,MEDIUM
EVS04231,"7750 Random Rd, City 351, Country",AC Level 2,ChargePoint,50,0.11,13.84,7,4.9,85,1,0.5454,MEDIUM
EVS02580,"4047 Sydney Ave, Sydney",AC Level 2,ChargePoint,50,0.12,12.92,3,4.6,34,0,0.5451,MEDIUM
EVS03660,"1197 San Francisco Ave, San Francisco",AC Level 1,Tesla,50,0.13,18.05,9,4.8,58,1,0.5451,MEDIUM
EVS00823,"9224 Los Angeles Ave, Los Angeles",AC Level 1,Greenlots,22,0.16,14.81,1,4.4,72,1,0.5449,MEDIUM
EVS04808,"9267 San Francisco Ave, San Francisco",DC Fast Charger,Ionity,50,0.23,15.91,1,4.9,57,1,0.5449,MEDIUM
EVS01616,"5538 Bangkok Ave, Bangkok",AC Level 2,Tesla,22,0.16,13.87,1,4.5,89,1,0.5448,MEDIUM
EVS02983,"2049 Los Angeles Ave, Los Angeles",AC Level 1,ChargePoint,50,0.13,16.01,2,4.2,17,0,0.5448,MEDIUM
EVS00164,"2651 Moscow Ave, Moscow",AC Level 1,Greenlots,22,0.12,16.5,2,4.0,52,0,0.5448,MEDIUM
EVS03291,"878 Random Rd, City 53, Country",AC Level 1,ChargePoint,350,0.12,18.08,4,4.8,68,1,0.5446,MEDIUM
EVS00805,"2198 Sydney Ave, Sydney",AC Level 2,Greenlots,50,0.24,19.12,1,4.6,25,0,0.5445,MEDIUM
EVS00861,"3783 Random Rd, City 477, Country",AC Level 1,Greenlots,150,0.2,19.52,4,4.8,98,1,0.5443,MEDIUM
EVS03384,"2615 Dubai Ave, Dubai",DC Fast Charger,Ionity,150,0.11,19.33,10,4.8,20,0,0.5443,MEDIUM
EVS03841,"7162 Random Rd, City 78, Country",AC Level 2,Ionity,50,0.18,19.7,5,4.5,100,1,0.5441,MEDIUM
EVS00344,"6363 Sydney Ave, Sydney",AC Level 1,Tesla,150,0.14,17.55,2,4.3,25,0,0.5441,MEDIUM
EVS03541,"8191 Random Rd, City 324, Country",AC Level 1,ChargePoint,50,0.2,18.4,5,4.8,44,0,0.544,MEDIUM
EVS02996,"216 Cape Town Ave, Cape Town",AC Level 2,EVgo,22,0.11,18.7,1,3.5,47,0,0.5437,MEDIUM
EVS02210,"9592 Moscow Ave, Moscow",AC Level 1,Tesla,350,0.12,17.27,2,4.6,94,1,0.5435,MEDIUM
EVS02956,"8261 Seoul Ave, Seoul",AC Level 2,Tesla,350,0.13,19.0,3,4.6,38,0,0.5435,MEDIUM
EVS01743,"1855 Cape Town Ave, Cape Town",DC Fast Charger,Greenlots,50,0.11,17.38,1,3.7,87,1,0.5435,MEDIUM
EVS00274,"9302 São Paulo Ave, São Paulo",AC Level 2,Greenlots,50,0.15,16.56,7,4.8,71,1,0.5433,MEDIUM
EVS02727,"667 Mexico City Ave, Mexico City",AC Level 2,ChargePoint,50,0.14,7.82,1,5.0,84,1,0.5433,MEDIUM
EVS01052,"9710 Berlin Ave, Berlin",DC Fast Charger,EVgo,22,0.12,19.6,4,3.8,16,0,0.5432,MEDIUM
EVS02632,"7530 Bangkok Ave, Bangkok",AC Level 1,Greenlots,22,0.17,17.48,8,4.9,33,0,0.5432,MEDIUM
EVS02988,"4125 Bangkok Ave, Bangkok",AC Level 2,ChargePoint,22,0.16,14.28,4,4.7,48,0,0.5429,MEDIUM
EVS03224,"1958 Mexico City Ave, Mexico City",DC Fast Charger,EVgo,50,0.22,19.87,3,4.5,39,0,0.5429,MEDIUM
EVS04497,"1229 Chicago Ave, Chicago",AC Level 2,Ionity,22,0.13,10.02,2,4.7,12,0,0.5428,MEDIUM
EVS02864,"7077 San Francisco Ave, San Francisco",AC Level 2,ChargePoint,22,0.2,17.76,3,4.5,73,1,0.5427,MEDIUM
EVS02828,"2608 Dubai Ave, Dubai",AC Level 2,Ionity,50,0.11,19.9,9,4.3,90,1,0.5426,MEDIUM
EVS00326,"2656 Chicago Ave, Chicago",AC Level 1,Tesla,50,0.16,16.48,4,4.5,30,0,0.5426,MEDIUM
EVS02099,"8266 Sydney Ave, Sydney",DC Fast Charger,EVgo,150,0.16,14.96,4,4.9,46,0,0.5426,MEDIUM
EVS02717,"1734 Toronto Ave, Toronto",AC Level 2,ChargePoint,50,0.2,14.79,4,5.0,22,0,0.5424,MEDIUM
EVS04294,"4083 Beijing Ave, Beijing",AC Level 2,EVgo,150,0.11,11.17,3,4.8,61,1,0.5424,MEDIUM
EVS03928,"1538 San Francisco Ave, San Francisco",DC Fast Charger,ChargePoint,50,0.2,14.49,2,4.8,31,0,0.5424,MEDIUM
EVS03012,"8336 Chicago Ave, Chicago",AC Level 2,Greenlots,22,0.12,7.99,1,4.7,24,0,0.5422,MEDIUM
EVS02375,"2829 Cape Town Ave, Cape Town",DC Fast Charger,Tesla,50,0.15,19.16,4,4.1,99,1,0.5422,MEDIUM
EVS01175,"8022 San Francisco Ave, San Francisco",AC Level 1,EVgo,150,0.12,12.66,3,4.7,79,1,0.5422,MEDIUM
EVS02188,"7521 Cape Town Ave, Cape Town",AC Level 1,EVgo,50,0.24,17.08,1,4.7,83,1,0.5422,MEDIUM
EVS01323,"1765 Seoul Ave, Seoul",AC Level 1,ChargePoint,50,0.11,15.96,8,4.6,78,1,0.5421,MEDIUM
EVS00230,"9591 Mexico City Ave, Mexico City",DC Fast Charger,Ionity,22,0.1,15.67,3,3.9,45,0,0.542,MEDIUM
EVS02383,"2651 Cape Town Ave, Cape Town",DC Fast Charger,EVgo,22,0.15,12.91,3,4.6,11,0,0.5418,MEDIUM
EVS02066,"3875 São Paulo Ave, São Paulo",DC Fast Charger,Ionity,150,0.12,11.2,1,4.6,52,0,0.5416,MEDIUM
EVS00702,"2970 Chicago Ave, Chicago",DC Fast Charger,Tesla,150,0.22,15.63,1,4.9,63,1,0.5416,MEDIUM
EVS02021,"737 Random Rd, City 160, Country",DC Fast Charger,Greenlots,22,0.18,18.75,5,4.4,15,0,0.5415,MEDIUM
EVS04772,"4943 San Francisco Ave, San Francisco",AC Level 2,Tesla,22,0.1,13.19,6,4.5,64,1,0.5415,MEDIUM
EVS01967,"1773 Chicago Ave, Chicago",DC Fast Charger,Tesla,150,0.12,13.94,2,4.4,23,0,0.5414,MEDIUM
EVS00550,"8721 Beijing Ave, Beijing",AC Level 2,Greenlots,22,0.22,16.72,3,4.7,96,1,0.5413,MEDIUM
EVS01357,"4463 Seoul Ave, Seoul",DC Fast Charger,EVgo,50,0.17,17.27,9,5.0,16,0,0.5412,MEDIUM
EVS01211,"729 Random Rd, City 163, Country",AC Level 2,Tesla,50,0.17,16.97,1,4.1,44,0,0.5412,MEDIUM
EVS04052,"444 São Paulo Ave, São Paulo",AC Level 2,ChargePoint,150,0.19,12.39,1,5.0,71,1,0.5411,MEDIUM
EVS03766,"587 São Paulo Ave, São Paulo",AC Level 2,Greenlots,150,0.24,19.59,2,4.7,90,1,0.541,MEDIUM
EVS02391,"8233 Random Rd, City 486, Country",DC Fast Charger,Ionity,50,0.1,17.5,3,3.7,27,0,0.5409,MEDIUM
EVS01912,"9777 Mumbai Ave, Mumbai",AC Level 2,Greenlots,150,0.12,12.62,1,4.4,27,0,0.5408,MEDIUM
EVS04524,"4713 São Paulo Ave, São Paulo",AC Level 1,Tesla,350,0.17,19.96,5,4.9,61,1,0.5408,MEDIUM
EVS03373,"9453 Sydney Ave, Sydney",AC Level 1,ChargePoint,50,0.11,18.06,3,3.7,84,1,0.5406,MEDIUM
EVS00672,"9585 Los Angeles Ave, Los Angeles",DC Fast Charger,Ionity,22,0.2,18.06,6,4.7,74,1,0.5405,MEDIUM
EVS01630,"1489 Bangkok Ave, Bangkok",AC Level 1,Tesla,50,0.25,19.96,3,4.6,26,0,0.5405,MEDIUM
EVS04699,"9114 Beijing Ave, Beijing",DC Fast Charger,EVgo,50,0.23,13.78,1,4.9,93,1,0.5405,MEDIUM
EVS04613,"2283 Beijing Ave, Beijing",AC Level 2,EVgo,350,0.16,18.93,4,4.8,92,1,0.5405,MEDIUM
EVS00877,"3458 San Francisco Ave, San Francisco",AC Level 1,Tesla,22,0.16,12.7,2,4.5,88,1,0.5402,MEDIUM
EVS03721,"1383 Random Rd, City 468, Country",AC Level 2,ChargePoint,22,0.25,14.46,1,4.9,25,0,0.5401,MEDIUM
EVS01307,"5748 San Francisco Ave, San Francisco",AC Level 2,Tesla,350,0.16,15.89,3,5.0,40,0,0.54,MEDIUM
EVS01366,"7003 Mexico City Ave, Mexico City",AC Level 2,Greenlots,150,0.12,13.96,7,4.9,83,1,0.54,MEDIUM
EVS02198,"6981 Chicago Ave, Chicago",AC Level 2,Greenlots,50,0.15,13.89,6,4.8,12,0,0.5399,MEDIUM
EVS03075,"2876 Mumbai Ave, Mumbai",AC Level 2,EVgo,50,0.16,14.57,6,4.8,57,1,0.5399,MEDIUM
EVS03242,"5486 Mexico City Ave, Mexico City",DC Fast Charger,Ionity,22,0.1,4.53,1,4.8,38,0,0.5399,MEDIUM
EVS02351,"7868 Random Rd, City 2, Country",DC Fast Charger,EVgo,22,0.13,16.75,3,3.9,84,1,0.5398,MEDIUM
EVS04650,"5133 Los Angeles Ave, Los Angeles",DC Fast Charger,Tesla,50,0.11,13.81,1,3.9,18,0,0.5398,MEDIUM
EVS02825,"7140 Sydney Ave, Sydney",AC Level 2,ChargePoint,50,0.12,12.02,3,4.4,90,1,0.5395,MEDIUM
EVS04156,"7324 Seoul Ave, Seoul",AC Level 1,Tesla,50,0.11,19.83,7,3.9,68,1,0.5394,MEDIUM
EVS03775,"17 Toronto Ave, Toronto",DC Fast Charger,Tesla,150,0.13,9.16,2,4.9,85,1,0.5393,MEDIUM
EVS03698,"9050 Dubai Ave, Dubai",AC Level 2,Greenlots,22,0.19,18.64,1,3.9,87,1,0.5392,MEDIUM
EVS00129,"3833 Beijing Ave, Beijing",AC Level 1,Ionity,22,0.1,11.77,4,4.3,66,1,0.5392,MEDIUM
EVS03896,"7926 Beijing Ave, Beijing",AC Level 2,Greenlots,50,0.1,14.93,4,4.0,81,1,0.539,MEDIUM
EVS03845,"6787 San Francisco Ave, San Francisco",DC Fast Charger,Ionity,22,0.17,17.54,4,4.2,24,0,0.5389,MEDIUM
EVS03260,"2024 Toronto Ave, Toronto",DC Fast Charger,Greenlots,150,0.16,12.75,1,4.6,48,0,0.5389,MEDIUM
EVS04281,"7817 Random Rd, City 308, Country",AC Level 1,EVgo,50,0.16,18.26,4,4.1,72,1,0.5389,MEDIUM
EVS02143,"3254 Sydney Ave, Sydney",AC Level 2,Ionity,50,0.23,15.15,4,5.0,75,1,0.5387,MEDIUM
EVS02724,"2939 Los Angeles Ave, Los Angeles",AC Level 2,Ionity,50,0.15,16.27,2,4.0,74,1,0.5387,MEDIUM
EVS00837,"625 Sydney Ave, Sydney",AC Level 1,Tesla,22,0.15,12.91,2,4.3,84,1,0.5385,MEDIUM
EVS01135,"2569 Mumbai Ave, Mumbai",AC Level 1,Tesla,22,0.1,3.1,2,5.0,31,0,0.5384,MEDIUM
EVS01717,"1503 Los Angeles Ave, Los Angeles",AC Level 1,Greenlots,150,0.12,16.3,4,4.2,65,1,0.5383,MEDIUM
EVS01428,"1996 Beijing Ave, Beijing",AC Level 1,Tesla,22,0.18,19.28,7,4.4,45,0,0.5383,MEDIUM
EVS00272,"8765 Chicago Ave, Chicago",DC Fast Charger,Ionity,22,0.17,10.65,2,4.7,57,1,0.5382,MEDIUM
EVS00748,"6135 Los Angeles Ave, Los Angeles",AC Level 2,Greenlots,350,0.15,16.05,3,4.8,96,1,0.5381,MEDIUM
EVS04634,"9804 Toronto Ave, Toronto",DC Fast Charger,ChargePoint,22,0.11,14.59,4,4.0,94,1,0.538,MEDIUM
EVS02987,"7660 Bangkok Ave, Bangkok",AC Level 2,EVgo,22,0.14,6.37,1,4.8,35,0,0.5378,MEDIUM
EVS04921,"9853 Random Rd, City 342, Country",AC Level 1,Ionity,350,0.17,16.4,3,4.9,68,1,0.5377,MEDIUM
EVS02310,"8917 Los Angeles Ave, Los Angeles",AC Level 2,Ionity,150,0.14,15.34,8,4.9,16,0,0.5377,MEDIUM
EVS03921,"8766 Random Rd, City 205, Country",DC Fast Charger,Ionity,150,0.25,19.47,1,4.5,63,1,0.5377,MEDIUM
EVS01848,"3201 Moscow Ave, Moscow",AC Level 1,Ionity,150,0.12,11.94,7,5.0,98,1,0.5376,MEDIUM
EVS00357,"2053 San Francisco Ave, San Francisco",AC Level 1,Greenlots,22,0.24,14.6,3,4.9,66,1,0.5376,MEDIUM
EVS00691,"6605 Random Rd, City 437, Country",AC Level 2,Tesla,50,0.17,18.04,8,4.6,24,0,0.5376,MEDIUM
EVS01745,"1556 São Paulo Ave, São Paulo",AC Level 2,EVgo,350,0.2,16.38,1,4.9,65,1,0.5376,MEDIUM
EVS00538,"9500 Toronto Ave, Toronto",AC Level 1,Tesla,22,0.13,19.96,8,4.0,59,1,0.5376,MEDIUM
EVS00329,"7911 Bangkok Ave, Bangkok",AC Level 2,EVgo,50,0.11,10.34,3,4.4,98,1,0.5375,MEDIUM
EVS00214,"226 Mexico City Ave, Mexico City",AC Level 1,Greenlots,150,0.11,14.17,3,4.2,52,0,0.5375,MEDIUM
EVS04472,"3511 Beijing Ave, Beijing",DC Fast Charger,Greenlots,22,0.11,12.09,7,4.6,82,1,0.5375,MEDIUM
EVS02850,"3409 San Francisco Ave, San Francisco",AC Level 1,ChargePoint,150,0.18,15.09,6,5.0,35,0,0.5374,MEDIUM
EVS03257,"7706 San Francisco Ave, San Francisco",DC Fast Charger,ChargePoint,50,0.17,12.31,6,5.0,34,0,0.5374,MEDIUM
EVS01388,"2554 San Francisco Ave, San Francisco",AC Level 2,Ionity,50,0.12,7.55,4,4.9,90,1,0.5374,MEDIUM
EVS01154,"8324 Cape Town Ave, Cape Town",DC Fast Charger,EVgo,22,0.12,16.74,10,4.5,44,0,0.5373,MEDIUM
EVS02739,"2893 Toronto Ave, Toronto",AC Level 2,Tesla,50,0.12,12.27,6,4.6,28,0,0.5373,MEDIUM
EVS04288,"9382 Sydney Ave, Sydney",AC Level 1,Ionity,50,0.13,12.39,2,4.2,31,0,0.5373,MEDIUM
EVS01280,"2396 Toronto Ave, Toronto",AC Level 2,Ionity,22,0.17,10.34,3,4.8,57,1,0.5373,MEDIUM
EVS04050,"7801 Bangkok Ave, Bangkok",AC Level 2,EVgo,22,0.12,17.7,5,3.8,84,1,0.5371,MEDIUM
EVS00656,"10 Sydney Ave, Sydney",AC Level 2,Tesla,150,0.13,7.07,1,4.9,85,1,0.5371,MEDIUM
EVS01187,"1865 Mumbai Ave, Mumbai",DC Fast Charger,Ionity,22,0.21,12.91,2,4.7,36,0,0.537,MEDIUM
EVS02836,"44 Berlin Ave, Berlin",AC Level 1,Tesla,22,0.15,17.35,1,3.6,65,1,0.5369,MEDIUM
EVS00417,"1639 Mumbai Ave, Mumbai",AC Level 1,Tesla,50,0.15,16.63,5,4.2,25,0,0.5367,MEDIUM
EVS00784,"4991 Toronto Ave, Toronto",AC Level 2,ChargePoint,150,0.19,17.95,5,4.6,33,0,0.5367,MEDIUM
EVS04198,"1095 Berlin Ave, Berlin",AC Level 1,Greenlots,50,0.14,10.55,5,4.8,72,1,0.5366,MEDIUM
EVS03689,"9679 San Francisco Ave, San Francisco",DC Fast Charger,ChargePoint,22,0.16,15.27,1,3.9,97,1,0.5366,MEDIUM
EVS02439,"4930 Berlin Ave, Berlin",AC Level 1,Tesla,22,0.16,15.98,6,4.4,13,0,0.5366,MEDIUM
EVS01635,"5954 Cape Town Ave, Cape Town",AC Level 2,Greenlots,22,0.19,17.6,3,4.1,81,1,0.5364,MEDIUM
EVS00714,"1748 Beijing Ave, Beijing",AC Level 2,Tesla,50,0.23,13.58,1,4.7,84,1,0.5364,MEDIUM
EVS04564,"6536 San Francisco Ave, San Francisco",AC Level 1,Ionity,50,0.24,18.57,6,4.8,54,0,0.5363,MEDIUM
EVS03499,"2932 Chicago Ave, Chicago",AC Level 2,Greenlots,22,0.22,15.07,2,4.5,91,1,0.5363,MEDIUM
EVS02971,"7285 Random Rd, City 136, Country",DC Fast Charger,Tesla,50,0.11,9.72,3,4.4,100,1,0.5363,MEDIUM
EVS03273,"5054 Dubai Ave, Dubai",DC Fast Charger,ChargePoint,22,0.25,19.55,6,4.7,33,0,0.5362,MEDIUM
EVS00692,"998 San Francisco Ave, San Francisco",DC Fast Charger,Tesla,22,0.11,6.75,5,4.9,31,0,0.5362,MEDIUM
EVS03678,"3879 Cape Town Ave, Cape Town",AC Level 1,Tesla,50,0.15,10.17,5,4.9,55,0,0.5362,MEDIUM
EVS02900,"9716 São Paulo Ave, São Paulo",AC Level 1,Greenlots,22,0.26,13.26,1,4.9,25,0,0.5362,MEDIUM
EVS00339,"9428 Sydney Ave, Sydney",DC Fast Charger,Greenlots,150,0.13,7.61,2,4.9,64,1,0.5361,MEDIUM
EVS04204,"9774 Beijing Ave, Beijing",AC Level 1,EVgo,350,0.21,19.48,4,4.9,75,1,0.5361,MEDIUM
EVS02170,"2809 Mumbai Ave, Mumbai",AC Level 1,EVgo,22,0.1,13.22,6,4.2,19,0,0.536,MEDIUM
EVS00880,"6777 Mexico City Ave, Mexico City",DC Fast Charger,Greenlots,150,0.16,18.93,4,4.1,98,1,0.536,MEDIUM
EVS02207,"2475 Sydney Ave, Sydney",AC Level 2,Ionity,150,0.18,16.03,5,4.7,99,1,0.536,MEDIUM
EVS04285,"8537 Chicago Ave, Chicago",AC Level 1,ChargePoint,50,0.18,19.75,2,3.7,27,0,0.5359,MEDIUM
EVS02713,"4805 Berlin Ave, Berlin",DC Fast Charger,Tesla,150,0.14,17.89,1,3.7,22,0,0.5359,MEDIUM
EVS03849,"9872 Bangkok Ave, Bangkok",AC Level 1,Tesla,350,0.19,17.63,2,4.7,40,0,0.5358,MEDIUM
EVS03183,"7082 São Paulo Ave, São Paulo",AC Level 1,EVgo,150,0.16,15.38,5,4.6,31,0,0.5358,MEDIUM
EVS04167,"7694 Berlin Ave, Berlin",AC Level 2,Ionity,150,0.18,12.78,2,4.7,55,0,0.5357,MEDIUM
EVS00146,"7670 São Paulo Ave, São Paulo",DC Fast Charger,Greenlots,50,0.2,18.53,3,4.1,33,0,0.5357,MEDIUM
EVS00642,"9874 Cape Town Ave, Cape Town",DC Fast Charger,Ionity,50,0.12,16.96,7,4.1,50,0,0.5356,MEDIUM
EVS03278,"6850 Mumbai Ave, Mumbai",AC Level 2,Ionity,50,0.13,17.79,2,3.5,72,1,0.5355,MEDIUM
EVS03588,"383 Cape Town Ave, Cape Town",AC Level 1,ChargePoint,22,0.25,17.38,6,4.9,91,1,0.5354,MEDIUM
EVS04633,"7180 Beijing Ave, Beijing",DC Fast Charger,EVgo,50,0.17,15.24,2,4.1,98,1,0.5354,MEDIUM
